condition_name,loss_variant_name,experiment_mode,model_name,task,n,rmse_mean,rmse_std,mae_mean,mae_std,hi_word_accuracy_mean,hi_word_accuracy_std,lo_word_accuracy_mean,lo_word_accuracy_std,rmse_gap_abs_vs_upper,rmse_gap_pct_vs_upper
scalar_fp32_reference,base,float_full,scalar,linear,10,0.0029588167788460852,0.00048363061681034925,0.0018869557417929173,0.00032223264586520094,,,,,0.0,0.0
scalar_fp32_reference,base,float_full,scalar,multiplicative,10,0.0071393238380551335,0.0020371455898040326,0.0030234842794016003,0.0003548832916538159,,,,,0.0,0.0
scalar_fp32_reference,base,float_full,scalar,oscillatory,10,0.07211224623024463,0.029443650577069536,0.05834067277610302,0.025354482062425025,,,,,0.0,0.0
scalar_fp32_reference,base,float_full,scalar,polynomial,10,0.012303366046398877,0.0006191029595371196,0.009406395815312862,0.0004715663973045349,,,,,0.0,0.0
scalar_nbit_io_hidden_compute,base,quant_full,scalar,linear,10,0.004914448270574212,0.0007588459114236636,0.003772352123633027,0.0005860149075157103,,,,,0.001955631491728127,66.09505210697121
scalar_nbit_io_hidden_compute,base,quant_full,scalar,multiplicative,10,0.007277071662247181,0.0019942603342430936,0.003226268268190324,0.0002888604319119707,,,,,0.00013774782419204764,1.9294239526970716
scalar_nbit_io_hidden_compute,base,quant_full,scalar,oscillatory,10,0.1353391408920288,0.012205888205000036,0.1094648376107216,0.010327534344778207,,,,,0.06322689466178417,87.67844293729149
scalar_nbit_io_hidden_compute,base,quant_full,scalar,polynomial,10,0.01239840341731906,0.0005558836603194597,0.009416305553168058,0.0004490638077998371,,,,,9.503737092018266e-05,0.7724501617018827
two_word_nbit_io_hidden_compute,base,quant_full,two_word,linear,10,0.19036260545253753,0.04990512421718822,0.09658956713974476,0.050959574191114194,0.00035000001662410796,0.00047434167155527626,0.0,0.0,0.18740378867369145,6333.740906619349
two_word_nbit_io_hidden_compute,base,quant_full,two_word,multiplicative,10,0.19003922641277313,0.008608216289750328,0.11117366701364517,0.00706220785518282,5.0000002374872565e-05,0.00015811389051842542,0.0,0.0,0.182899902574718,2561.8658954759344
two_word_nbit_io_hidden_compute,base,quant_full,two_word,oscillatory,10,0.5699622154235839,0.010786888344673937,0.4767744690179825,0.011852139336206307,0.0,0.0,0.0,0.0,0.4978499691933393,690.382001974771
two_word_nbit_io_hidden_compute,base,quant_full,two_word,polynomial,10,0.03845660202205181,0.001259358895862579,0.03040799032896757,0.0009934948928694489,0.00020000000949949026,0.00034960296599529956,0.0,0.0,0.026153235975652934,212.56976242942744
two_word_nbit_io_only,base,quant_io,two_word,linear,10,0.2311680495738983,0.041839236373430594,0.14433508440852166,0.04007467955130489,0.0002500000118743628,0.0003535534073861587,0.0,0.0,0.22820923279505223,7712.854490572816
two_word_nbit_io_only,base,quant_io,two_word,multiplicative,10,0.178670434653759,0.013017631315689566,0.10313142612576484,0.00968253202409608,5.0000002374872565e-05,0.00015811389051842542,0.0,0.0,0.17153111081570388,2402.6240398478926
two_word_nbit_io_only,base,quant_io,two_word,oscillatory,10,0.5191135764122009,0.011170185906573477,0.4216821789741516,0.010609341957940182,0.0,0.0,5.0000002374872565e-05,0.00015811389051842542,0.44700133018195626,619.8688205533656
two_word_nbit_io_only,base,quant_io,two_word,polynomial,10,0.038203226029872896,0.0008953446777697955,0.030467830039560793,0.0007496819708714852,0.0003000000142492354,0.00034960296599529956,5.0000002374872565e-05,0.00015811389051842542,0.02589985998347402,210.510358594547
