condition_name,loss_variant_name,experiment_mode,model_name,task,n,rmse_mean,rmse_std,mae_mean,mae_std,hi_word_accuracy_mean,hi_word_accuracy_std,lo_word_accuracy_mean,lo_word_accuracy_std,rmse_gap_abs_vs_upper,rmse_gap_pct_vs_upper
scalar_fp32_reference,base,float_full,scalar,linear,6,0.0023873247943508127,0.0009151552371480288,0.0008939956702912847,0.000235960180671,,,,,0.0,0.0
scalar_fp32_reference,base,float_full,scalar,multiplicative,6,0.006092370332529147,0.0008231584814070366,0.0028880529183273516,0.0003399549258726967,,,,,0.0,0.0
scalar_fp32_reference,base,float_full,scalar,oscillatory,6,0.039587038258711495,0.0025198417615267745,0.031313007387022175,0.0020591615668611937,,,,,0.0,0.0
scalar_fp32_reference,base,float_full,scalar,polynomial,6,0.011469065056492886,0.0005276680589923697,0.008750489292045435,0.0003760836660423258,,,,,0.0,0.0
scalar_nbit_io_hidden_compute,base,quant_full,scalar,linear,6,0.002756337014337381,0.0006485128897541131,0.0015513815257387857,0.00033342382459539973,,,,,0.0003690122199865682,15.457143529852797
scalar_nbit_io_hidden_compute,base,quant_full,scalar,multiplicative,6,0.006038340041413903,0.0008518544520191621,0.0027942708305393658,0.00024909072969403305,,,,,-5.403029111524394e-05,-0.8868517205324608
scalar_nbit_io_hidden_compute,base,quant_full,scalar,oscillatory,6,0.08504058048129082,0.014697810750120846,0.06829013116657734,0.012462063180470159,,,,,0.04545354222257932,114.81925453864146
scalar_nbit_io_hidden_compute,base,quant_full,scalar,polynomial,6,0.011560926834742228,0.000504984319944461,0.008783101104199886,0.00035785056602068534,,,,,9.186177824934208e-05,0.8009526303744972
two_word_nbit_io_hidden_compute,base,quant_full,two_word,linear,6,0.23383071025212607,0.037122303680396665,0.14426859964927038,0.03996468070282868,0.0003333333491658171,0.0005163978040219006,0.0,0.0,0.23144338545777526,9694.675228332802
two_word_nbit_io_hidden_compute,base,quant_full,two_word,multiplicative,6,0.1773856207728386,0.014130866630956088,0.10325020303328832,0.010180418789866275,8.333333729145427e-05,0.00020412415492730815,0.0,0.0,0.17129325044030944,2811.6027275249344
two_word_nbit_io_hidden_compute,base,quant_full,two_word,oscillatory,6,0.5330513417720795,0.0058644625883143816,0.4356178641319275,0.00670581116521396,0.0,0.0,0.0,0.0,0.49346430351336795,1246.5299886504556
two_word_nbit_io_hidden_compute,base,quant_full,two_word,polynomial,6,0.03660695068538189,0.0009508417621051451,0.02914928582807382,0.0008308216345505339,0.0003333333491658171,0.0004082483098546163,0.0,0.0,0.025137885628889002,219.17990267792493
two_word_nbit_io_only,base,quant_io,two_word,linear,6,0.22960837682088217,0.04046270894627627,0.14213592621187368,0.04032124062744011,0.0003333333491658171,0.0004082483098546163,8.333333729145427e-05,0.00020412415492730815,0.22722105202653137,9517.810587156398
two_word_nbit_io_only,base,quant_io,two_word,multiplicative,6,0.1697028949856758,0.008208948222931757,0.09243967632452647,0.007112896661732887,8.333333729145427e-05,0.00020412415492730815,0.0,0.0,0.16361052465314666,2685.498676591881
two_word_nbit_io_only,base,quant_io,two_word,oscillatory,6,0.4588620165983836,0.017322465008207128,0.3615545431772868,0.017177798849208982,8.333333729145427e-05,0.00020412415492730815,0.0,0.0,0.4192749783396721,1059.1218661007224
two_word_nbit_io_only,base,quant_io,two_word,polynomial,6,0.037396387507518135,0.0008092431203019657,0.029849060190220673,0.0006379079013724631,0.0006666666886303574,0.000516397785235459,0.0,0.0,0.025927322451025248,226.0630864269728
